2020-09-12 19:33:12.927 INFO  c.n.d.s.r.a.ConfigClusterResolver.getClusterEndpoints:43 - Resolving eureka endpoints via configuration
2020-09-12 19:33:13.150 INFO  c.n.d.DiscoveryClient.fetchRegistry:981 - Disable delta property : false
2020-09-12 19:33:13.151 INFO  c.n.d.DiscoveryClient.fetchRegistry:982 - Single vip registry refresh property : null
2020-09-12 19:33:13.151 INFO  c.n.d.DiscoveryClient.fetchRegistry:983 - Force full registry fetch : false
2020-09-12 19:33:13.151 INFO  c.n.d.DiscoveryClient.fetchRegistry:984 - Application is null : false
2020-09-12 19:33:13.152 INFO  c.n.d.DiscoveryClient.fetchRegistry:985 - Registered Applications size is zero : true
2020-09-12 19:33:13.152 INFO  c.n.d.DiscoveryClient.fetchRegistry:987 - Application version is -1: true
2020-09-12 19:33:13.152 INFO  c.n.d.DiscoveryClient.getAndStoreFullRegistry:1070 - Getting all instance registry info from the eureka server
2020-09-12 19:33:17.283 INFO  c.n.d.DiscoveryClient.initScheduledTasks:1294 - Starting heartbeat executor: renew interval is: 30
2020-09-12 19:33:17.287 INFO  c.n.d.InstanceInfoReplicator.<init>:60 - InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-09-12 19:33:17.295 INFO  c.n.d.DiscoveryClient.<init>:468 - Discovery Client initialized at timestamp 1599931997292 with initial instances count: 0
2020-09-12 19:33:17.307 INFO  o.s.c.n.e.s.EurekaServiceRegistry.register:41 - Registering application AUTH with eureka with status UP
2020-09-12 19:33:17.309 INFO  c.n.d.DiscoveryClient.notify:1330 - Saw local status change event StatusChangeEvent [timestamp=1599931997309, current=UP, previous=STARTING]
2020-09-12 19:33:17.312 INFO  c.n.d.DiscoveryClient.register:847 - DiscoveryClient_AUTH/host.docker.internal:auth:8081: registering service...
2020-09-12 19:33:17.319 INFO  o.s.d.r.c.DeferredRepositoryInitializationListener.onApplicationEvent:49 - Triggering deferred initialization of Spring Data repositories…
2020-09-12 19:33:18.335 INFO  o.s.d.r.c.DeferredRepositoryInitializationListener.onApplicationEvent:53 - Spring Data repositories initialized!
2020-09-12 19:33:18.353 INFO  c.o.a.AuthenticationServiceApplicationTests.logStarted:61 - Started AuthenticationServiceApplicationTests in 14.328 seconds (JVM running for 15.597)
2020-09-12 19:33:18.995 INFO  o.s.c.n.e.s.EurekaServiceRegistry.deregister:65 - Unregistering application AUTH with eureka with status DOWN
2020-09-12 19:33:19.010 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy:598 - Closing JPA EntityManagerFactory for persistence unit 'default'
2020-09-12 19:33:19.011 INFO  o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl.perform:526 - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2020-09-12 19:33:19.135 INFO  o.s.s.c.ThreadPoolTaskExecutor.shutdown:218 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-12 19:33:19.136 INFO  c.z.h.HikariDataSource.close:350 - HikariPool-1 - Shutdown initiated...
2020-09-12 19:33:19.143 INFO  c.z.h.HikariDataSource.close:352 - HikariPool-1 - Shutdown completed.
2020-09-12 19:33:19.144 INFO  c.n.d.DiscoveryClient.shutdown:909 - Shutting down DiscoveryClient ...
2020-09-12 19:33:21.371 INFO  c.n.d.DiscoveryClient.register:847 - DiscoveryClient_AUTH/host.docker.internal:auth:8081: registering service...
2020-09-12 19:33:22.147 INFO  c.n.d.DiscoveryClient.unregister:945 - Unregistering ...
2020-09-12 19:33:26.169 INFO  c.n.d.DiscoveryClient.shutdown:934 - Completed shut down of DiscoveryClient
2020-09-12 19:43:36.961 INFO  c.o.a.AuthenticationServiceApplicationTests.logStartupProfileInfo:655 - The following profiles are active: dev
2020-09-12 19:43:37.681 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn:127 - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-09-12 19:43:37.944 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn:187 - Finished Spring Data repository scanning in 250ms. Found 8 JPA repository interfaces.
2020-09-12 19:43:38.564 INFO  o.s.c.c.s.GenericScope.setSerializationId:295 - BeanFactory id=5395d54f-4882-37a6-af7d-5acaf67c51ba
2020-09-12 19:43:38.723 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization:335 - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$93d20649] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-12 19:43:38.777 INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping.afterPropertiesSet:236 - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2020-09-12 19:43:38.875 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization:335 - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@205df5dc' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-12 19:43:38.898 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization:335 - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-12 19:43:39.172 INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-12 19:43:39.283 INFO  o.h.j.i.u.LogHelper.logPersistenceUnitInformation:31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-09-12 19:43:39.394 INFO  o.h.Version.logVersion:44 - HHH000412: Hibernate ORM core version 5.4.18.Final
2020-09-12 19:43:39.982 INFO  o.h.a.c.Version.<clinit>:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-09-12 19:43:40.460 INFO  c.z.h.HikariDataSource.getConnection:110 - HikariPool-1 - Starting...
2020-09-12 19:43:40.697 INFO  c.z.h.HikariDataSource.getConnection:123 - HikariPool-1 - Start completed.
2020-09-12 19:43:40.738 INFO  o.h.d.Dialect.<init>:172 - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL95Dialect
2020-09-12 19:43:41.306 INFO  o.s.s.w.DefaultSecurityFilterChain.<init>:43 - Creating filter chain: Ant [pattern='/', GET], []
2020-09-12 19:43:41.307 INFO  o.s.s.w.DefaultSecurityFilterChain.<init>:43 - Creating filter chain: Ant [pattern='/webjars/**', GET], []
2020-09-12 19:43:41.307 INFO  o.s.s.w.DefaultSecurityFilterChain.<init>:43 - Creating filter chain: Ant [pattern='/*.html', GET], []
2020-09-12 19:43:41.308 INFO  o.s.s.w.DefaultSecurityFilterChain.<init>:43 - Creating filter chain: Ant [pattern='/favicon.ico', GET], []
2020-09-12 19:43:41.308 INFO  o.s.s.w.DefaultSecurityFilterChain.<init>:43 - Creating filter chain: Ant [pattern='/**/*.html', GET], []
2020-09-12 19:43:41.309 INFO  o.s.s.w.DefaultSecurityFilterChain.<init>:43 - Creating filter chain: Ant [pattern='/**/*.css', GET], []
2020-09-12 19:43:41.309 INFO  o.s.s.w.DefaultSecurityFilterChain.<init>:43 - Creating filter chain: Ant [pattern='/**/*.js', GET], []
