2020-09-14 09:56:51.406 INFO  c.o.a.AuthenticationServiceApplicationTests.logStartupProfileInfo:655 - The following profiles are active: dev
2020-09-14 09:56:52.009 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn:127 - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-09-14 09:56:52.224 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn:187 - Finished Spring Data repository scanning in 204ms. Found 8 JPA repository interfaces.
2020-09-14 09:56:52.662 INFO  o.s.c.c.s.GenericScope.setSerializationId:295 - BeanFactory id=5395d54f-4882-37a6-af7d-5acaf67c51ba
2020-09-14 09:56:52.826 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization:335 - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$93d20649] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-14 09:56:52.871 INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping.afterPropertiesSet:236 - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2020-09-14 09:56:52.965 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization:335 - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@205df5dc' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-14 09:56:52.980 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization:335 - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-14 09:56:53.209 INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-14 09:56:53.302 INFO  o.h.j.i.u.LogHelper.logPersistenceUnitInformation:31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-09-14 09:56:53.418 INFO  o.h.Version.logVersion:44 - HHH000412: Hibernate ORM core version 5.4.18.Final
2020-09-14 09:56:53.871 INFO  o.h.a.c.Version.<clinit>:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-09-14 09:56:54.280 INFO  c.z.h.HikariDataSource.getConnection:110 - HikariPool-1 - Starting...
2020-09-14 09:56:54.467 INFO  c.z.h.HikariDataSource.getConnection:123 - HikariPool-1 - Start completed.
2020-09-14 09:56:54.511 INFO  o.h.d.Dialect.<init>:172 - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL95Dialect
2020-09-14 09:56:55.316 INFO  o.s.s.w.DefaultSecurityFilterChain.<init>:43 - Creating filter chain: Ant [pattern='/', GET], []
2020-09-14 09:56:55.317 INFO  o.s.s.w.DefaultSecurityFilterChain.<init>:43 - Creating filter chain: Ant [pattern='/webjars/**', GET], []
2020-09-14 09:56:55.317 INFO  o.s.s.w.DefaultSecurityFilterChain.<init>:43 - Creating filter chain: Ant [pattern='/*.html', GET], []
2020-09-14 09:56:55.318 INFO  o.s.s.w.DefaultSecurityFilterChain.<init>:43 - Creating filter chain: Ant [pattern='/favicon.ico', GET], []
2020-09-14 09:56:55.318 INFO  o.s.s.w.DefaultSecurityFilterChain.<init>:43 - Creating filter chain: Ant [pattern='/**/*.html', GET], []
2020-09-14 09:56:55.319 INFO  o.s.s.w.DefaultSecurityFilterChain.<init>:43 - Creating filter chain: Ant [pattern='/**/*.css', GET], []
2020-09-14 09:56:55.319 INFO  o.s.s.w.DefaultSecurityFilterChain.<init>:43 - Creating filter chain: Ant [pattern='/**/*.js', GET], []
2020-09-14 09:56:55.430 INFO  o.s.s.w.DefaultSecurityFilterChain.<init>:43 - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@342ee097, org.springframework.security.web.context.SecurityContextPersistenceFilter@6094de13, org.springframework.security.web.header.HeaderWriterFilter@675b18ff, org.springframework.web.filter.CorsFilter@6dcab9d9, org.springframework.security.web.authentication.logout.LogoutFilter@2801827a, com.owasp.authenticationservice.auth.TokenAuthenticationFilter@6ac45c0c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3e6ec74, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@49a38b1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@12192604, org.springframework.security.web.session.SessionManagementFilter@6f91fbda, org.springframework.security.web.access.ExceptionTranslationFilter@51e7589f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7ac48e10]
2020-09-14 09:56:55.891 INFO  c.n.c.s.URLConfigurationSource.<init>:122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-09-14 09:56:55.904 INFO  c.n.c.s.URLConfigurationSource.<init>:122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-09-14 09:56:56.794 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-09-14 09:56:56.807 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory:416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-09-14 09:56:57.863 INFO  o.s.c.n.e.InstanceInfoFactory.create:72 - Setting initial instance status as: STARTING
2020-09-14 09:56:58.074 INFO  c.n.d.DiscoveryClient.<init>:368 - Initializing Eureka in region us-east-1
2020-09-14 09:56:58.462 INFO  c.n.d.p.DiscoveryJerseyProvider.<init>:70 - Using JSON encoding codec LegacyJacksonJson
2020-09-14 09:56:58.462 INFO  c.n.d.p.DiscoveryJerseyProvider.<init>:71 - Using JSON decoding codec LegacyJacksonJson
2020-09-14 09:56:58.650 INFO  c.n.d.p.DiscoveryJerseyProvider.<init>:80 - Using XML encoding codec XStreamXml
2020-09-14 09:56:58.651 INFO  c.n.d.p.DiscoveryJerseyProvider.<init>:81 - Using XML decoding codec XStreamXml
2020-09-14 09:56:58.888 INFO  c.n.d.s.r.a.ConfigClusterResolver.getClusterEndpoints:43 - Resolving eureka endpoints via configuration
2020-09-14 09:56:59.062 INFO  c.n.d.DiscoveryClient.fetchRegistry:981 - Disable delta property : false
2020-09-14 09:56:59.063 INFO  c.n.d.DiscoveryClient.fetchRegistry:982 - Single vip registry refresh property : null
2020-09-14 09:56:59.063 INFO  c.n.d.DiscoveryClient.fetchRegistry:983 - Force full registry fetch : false
2020-09-14 09:56:59.064 INFO  c.n.d.DiscoveryClient.fetchRegistry:984 - Application is null : false
2020-09-14 09:56:59.064 INFO  c.n.d.DiscoveryClient.fetchRegistry:985 - Registered Applications size is zero : true
2020-09-14 09:56:59.064 INFO  c.n.d.DiscoveryClient.fetchRegistry:987 - Application version is -1: true
2020-09-14 09:56:59.064 INFO  c.n.d.DiscoveryClient.getAndStoreFullRegistry:1070 - Getting all instance registry info from the eureka server
2020-09-14 09:57:03.230 INFO  c.n.d.DiscoveryClient.initScheduledTasks:1294 - Starting heartbeat executor: renew interval is: 30
2020-09-14 09:57:03.236 INFO  c.n.d.InstanceInfoReplicator.<init>:60 - InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-09-14 09:57:03.244 INFO  c.n.d.DiscoveryClient.<init>:468 - Discovery Client initialized at timestamp 1600070223241 with initial instances count: 0
2020-09-14 09:57:03.259 INFO  o.s.c.n.e.s.EurekaServiceRegistry.register:41 - Registering application AUTH with eureka with status UP
2020-09-14 09:57:03.261 INFO  c.n.d.DiscoveryClient.notify:1330 - Saw local status change event StatusChangeEvent [timestamp=1600070223260, current=UP, previous=STARTING]
2020-09-14 09:57:03.264 INFO  c.n.d.DiscoveryClient.register:847 - DiscoveryClient_AUTH/host.docker.internal:auth:8081: registering service...
